scheme_code,scheme_name,amc,category_latest,category_first,plan,option,isin_growth_or_payout,isin_reinvest,first_nav_date,last_nav_date,nav_count,status
118866,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - ELSS ),Open Ended Schemes ( Equity Scheme - ELSS ),Direct Plan,Growth,INF044D01CG6,INF044D01AA3,2022-01-03,2022-12-30,247,active
118867,Taurus ELSS Tax Saver Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - ELSS ),Open Ended Schemes ( Equity Scheme - ELSS ),Direct Plan,Income Distribution cum Capital Withdrawal,INF044D01CH4,INF044D01CI2,2022-01-03,2022-12-30,247,active
118868,Taurus Banking & Financial Services Fund - Direct Plan - Growth,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Direct Plan,Growth,INF044D01CN2,,2022-01-03,2022-12-30,247,active
118869,Taurus Banking & Financial Services Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Direct Plan,Income Distribution cum Capital Withdrawal,INF044D01CO0,INF044D01CP7,2022-01-03,2022-12-30,247,active
118870,Taurus Large Cap Fund - Direct Plan - Growth,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Large Cap Fund ),Open Ended Schemes ( Equity Scheme - Large Cap Fund ),Direct Plan,Growth,INF044D01BX3,,2022-01-03,2022-12-30,247,active
118871,Taurus Large Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Large Cap Fund ),Open Ended Schemes ( Equity Scheme - Large Cap Fund ),Direct Plan,Income Distribution cum Capital Withdrawal,INF044D01BY1,INF044D01BZ8,2022-01-03,2022-12-30,247,active
118872,Taurus Mid Cap Fund - Direct Plan - Growth,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Mid Cap Fund ),Open Ended Schemes ( Equity Scheme - Mid Cap Fund ),Direct Plan,Growth,INF044D01CA9,,2022-01-03,2022-12-30,247,active
118873,Taurus Mid Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Mid Cap Fund ),Open Ended Schemes ( Equity Scheme - Mid Cap Fund ),Direct Plan,Income Distribution cum Capital Withdrawal,INF044D01CB7,INF044D01CC5,2022-01-03,2022-12-30,247,active
118876,Taurus Ethical Fund - Direct Plan - Growth,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Direct Plan,Growth,INF044D01CJ0,,2022-01-03,2022-12-30,247,active
118877,Taurus Ethical Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Direct Plan,Income Distribution cum Capital Withdrawal,INF044D01CK8,INF044D01CL6,2022-01-03,2022-12-30,247,active
