scheme_code,scheme_name,amc,category_latest,category_first,plan,option,isin_growth_or_payout,isin_reinvest,first_nav_date,last_nav_date,nav_count,status
100027,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100028,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100029,Grindlays Super Saver Income Fund-GSSIF-Growth,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100030,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100031,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund ),Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund ),Regular Plan,GROWTH,INF209K01165,,2006-04-03,2022-12-30,1418,active
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund ),Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund ),Regular Plan,IDCW,INF209K01157,INF209K01CE5,2006-04-03,2022-12-30,1418,active
100035,Birla Sun Life Freedom Fund-Plan A (Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Balanced ),Open Ended Schemes ( Balanced ),,,,,2006-04-03,2010-12-31,1170,closed_or_merged
100036,Birla Sun Life Freedom Fund-Plan B (Growth),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Balanced ),Open Ended Schemes ( Balanced ),,,,,2006-04-03,2010-12-31,1170,closed_or_merged
100037,Aditya Birla Sun Life Medium to Long Term Fund - Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Regular Plan,Quarterly IDCW,INF209K01587,INF209K01CY3,2006-04-03,2022-12-30,1402,active
100038,Aditya Birla Sun Life Medium to Long Term Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Regular Plan,GROWTH,INF209K01579,,2006-04-03,2022-12-30,1402,active
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),,,,INF209K01KN9,2006-04-02,2022-12-31,1814,active
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),,,INF209K01ME4,,2006-04-02,2022-12-31,1814,active
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),,,INF209K01RT1,,2006-04-02,2022-12-31,1814,active
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),,,,INF209K01KP4,2006-04-02,2022-12-31,1814,active
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),Regular Plan,Daily IDCW,INF209K01KQ2,INF209K01SQ5,2006-04-02,2022-12-31,1814,active
100047,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),Regular Plan,GROWTH,INF209K01RU9,,2006-04-02,2022-12-31,1814,active
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),,,INF209KA1LK7,INF209K01KY6,2006-04-02,2022-12-31,1814,active
100049,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),,,,,2006-04-02,2010-12-31,1449,closed_or_merged
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),Regular Plan,Weekly IDCW,INF209K01KU4,INF209KA1LJ9,2006-04-02,2022-12-31,1814,active
100052,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),,,,,2006-04-02,2010-12-31,1449,closed_or_merged
100053,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Debt Scheme - Liquid Fund ),Open Ended Schemes ( Debt Scheme - Liquid Fund ),,,,,2006-04-02,2010-12-31,1449,closed_or_merged
100054,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),,,INF209K01AB5,,2006-04-03,2010-12-31,1159,closed_or_merged
100055,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),,,INF209K01AA7,,2006-04-03,2010-12-31,1159,closed_or_merged
100056,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),,,INF209K01991,INF209K01DM6,2006-04-03,2010-12-31,1159,closed_or_merged
100057,Aditya Birla Sun Life Gilt Fund -Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Regular Plan,Quarterly IDCW,INF209K01AF6,INF209K01DP9,2006-04-03,2022-12-30,1402,active
100058,Aditya Birla Sun Life Gilt Fund  - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Regular Plan,GROWTH,INF209K01AC3,INF209K01AD1,2006-04-03,2022-12-30,1402,active
100059,Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),,,,INF209K01DO2,2006-04-03,2010-12-31,1159,closed_or_merged
100060,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),,,INF209K01AI0,INF209K01DR5,2006-04-03,2010-12-31,1159,closed_or_merged
100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),,,INF209K01AH2,,2006-04-03,2010-12-31,1159,closed_or_merged
100062,Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Gilt Fund ),,,,INF209K01DQ7,2006-04-03,2010-12-31,1159,closed_or_merged
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Regular Plan,IDCW,INF209K01314,INF209K01CL0,2006-04-03,2022-12-30,1418,active
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Regular Plan,GROWTH,INF209K01322,,2006-04-03,2022-12-30,1418,active
100065,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,INF209K01280,INF209K01CK2,2006-04-03,2010-12-31,1171,closed_or_merged
100066,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,INF209K01298,,2006-04-03,2010-12-31,1171,closed_or_merged
100067,Aditya Birla Sun Life Tax Plan -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Equity Scheme - ELSS ),Open Ended Schemes ( Equity Scheme - ELSS ),,,INF209K01330,INF209K01CM8,2006-04-03,2022-12-30,1418,active
100068,BARODA ELSS 96 - Plan A - IDCW,Baroda BNP Paribas Mutual Fund,Open Ended Schemes ( Equity Scheme - ELSS ),Open Ended Schemes ( Equity Scheme - ELSS ),,,INF955L01641,,2006-04-03,2022-03-13,1212,closed_or_merged
100069,BARODA PIONEER DIVERSIFIED FUND,Baroda BNP Paribas Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,,,2006-04-03,2009-10-30,872,closed_or_merged
100077,DSP Medium Term Fund - IDCW,DSP Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Regular Plan,IDCW,INF740K01565,INF740K01995,2006-04-03,2022-12-31,1396,active
100078,DSP Medium Term Fund - Growth,DSP Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Regular Plan,Growth,INF740K01557,,2006-04-03,2022-12-31,1396,active
100079,DSP Medium Term Fund - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Regular Plan,Monthly IDCW,INF740K01573,INF740K01AA1,2006-04-03,2022-12-31,1396,active
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Regular Plan,IDCW,INF740K01011,INF740K01029,2006-04-03,2022-12-30,1417,active
100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,DSP Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund ),Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund ),Regular Plan,Growth,INF740K01318,,2006-04-03,2022-12-30,1417,active
100082,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund ),Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund ),Regular Plan,IDCW,INF740K01326,INF740K01334,2006-04-03,2022-12-30,1417,active
100084,DSP Gilt Fund - Regular Plan - Growth,DSP Mutual Fund,Open Ended Schemes ( Debt Scheme - Gilt Fund ),Open Ended Schemes ( Debt Scheme - Gilt Fund ),Regular Plan,Growth,INF740K01615,,2006-04-03,2022-12-31,1395,active
100085,DSP Gilt Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes ( Debt Scheme - Gilt Fund ),Open Ended Schemes ( Debt Scheme - Gilt Fund ),Regular Plan,IDCW,INF740K01607,INF740K01AD5,2006-04-03,2022-12-31,1395,active
100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes ( Debt Scheme - Gilt Fund ),Open Ended Schemes ( Debt Scheme - Gilt Fund ),Regular Plan,Monthly IDCW,INF740K01623,INF740K01AE3,2006-04-03,2022-12-31,1395,active
100087,DSP Money Market Fund - Regular Plan - Growth,DSP Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Money Market Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Money Market Fund ),Regular Plan,Growth,INF740K01714,,2006-04-03,2022-12-31,1395,active
100088,DSP Money Market Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Money Market Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Money Market Fund ),Regular Plan,IDCW,INF740K01706,INF740K01AJ2,2006-04-03,2022-12-31,1395,active
100089,DSP Money Market Fund - Regular Plan - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Money Market Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Money Market Fund ),Regular Plan,Monthly IDCW,INF740K01722,INF740K01AK0,2006-04-03,2022-12-31,1395,active
100090,DSP BlackRock Technology.com   Fund - Regular Plan - Growth,DSP Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,INF740K01219,,2006-04-03,2010-12-31,1170,closed_or_merged
100119,HDFC Balanced Advantage Fund - Growth Plan,HDFC Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage ),Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage ),Regular Plan,Growth Option,INF179K01830,,2006-04-03,2022-12-30,1417,active
100120,HDFC Balanced Advantage Fund - IDCW Plan,HDFC Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage ),Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage ),Regular Plan,IDCW Option,INF179K01814,INF179K01822,2006-04-03,2022-12-30,1417,active
100121,HDFC Balanced Fund - Dividend Option,HDFC Mutual Fund,Open Ended Schemes ( Balanced ),Open Ended Schemes ( Balanced ),,,INF179K01376,INF179K01384,2006-04-03,2010-12-31,1170,closed_or_merged
100122,HDFC Balanced Fund - Growth Option,HDFC Mutual Fund,Open Ended Schemes ( Balanced ),Open Ended Schemes ( Balanced ),,,INF179K01392,,2006-04-03,2010-12-31,1170,closed_or_merged
100123,HDFC Medium to Long Term Fund - Quarterly IDCW Option,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Regular Plan,Quarterly IDCW Option,INF179K01947,INF179K01954,2006-04-03,2022-12-30,1406,active
100124,HDFC Income Fund - Growth Option,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Regular Plan,Growth Option,INF179K01962,,2006-04-03,2022-12-30,1406,active
100136,Principal Deposit Fund-Plan 54EA/EB-Plan 54EA /EB,Principal Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2006-12-29,186,closed_or_merged
100150,Principal Child Benefit Fund-Super Saver-Future Guard Plan,Principal Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,,,2006-04-03,2009-07-10,804,closed_or_merged
100151,Principal Retail Equity Savings Fund - Growth Option,Principal Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,INF173K01CP9,,2006-04-03,2010-12-31,1170,closed_or_merged
100152,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,Principal Mutual Fund,Open Ended Schemes ( Other Scheme - Index Funds ),Open Ended Schemes ( Other Scheme - Index Funds ),,,INF173K01AH0,INF173K01AI8,2006-04-03,2010-12-31,1170,closed_or_merged
100153,Principal Nifty 100 Equal Weight Fund-Growth,Principal Mutual Fund,Open Ended Schemes ( Other Scheme - Index Funds ),Open Ended Schemes ( Other Scheme - Index Funds ),,,INF173K01AG2,,2006-04-03,2010-12-31,1170,closed_or_merged
100154,Principal Equity Fund-Dividend,Principal Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,,,2006-04-03,2006-08-04,86,closed_or_merged
100155,Principal Equity Fund-Growth,Principal Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,,,2006-04-03,2006-08-04,86,closed_or_merged
100156,Principal Tax Savings Fund,Principal Mutual Fund,Open Ended Schemes ( Equity Scheme - ELSS ),Open Ended Schemes ( Equity Scheme - ELSS ),,,INF173K01361,,2006-04-03,2010-12-31,1166,closed_or_merged
100171,Quant Dynamic Bond-Dividend,quant Mutual Fund,Open Ended Schemes ( Debt Scheme - Dynamic Bond ),Open Ended Schemes ( Debt Scheme - Dynamic Bond ),,,INF966L01077,INF966L01085,2006-04-03,2010-12-31,1168,closed_or_merged
100172,Quant Dynamic Bond-Growth,quant Mutual Fund,Open Ended Schemes ( Debt Scheme - Dynamic Bond ),Open Ended Schemes ( Debt Scheme - Dynamic Bond ),,,INF966L01093,,2006-04-03,2010-12-31,1168,closed_or_merged
100173,Quant Dynamic Bond-Bonus,quant Mutual Fund,Open Ended Schemes ( Debt Scheme - Dynamic Bond ),Open Ended Schemes ( Debt Scheme - Dynamic Bond ),,,INF966L01101,,2006-04-03,2010-12-31,1168,closed_or_merged
100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,quant Mutual Fund,Open Ended Schemes ( Equity Scheme - ELSS ),Open Ended Schemes ( Equity Scheme - ELSS ),Regular Plan,IDCW Option,INF966L01119,,2006-04-03,2022-12-30,1415,active
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,quant Mutual Fund,Open Ended Schemes ( Equity Scheme - ELSS ),Open Ended Schemes ( Equity Scheme - ELSS ),Regular Plan,Growth Option,INF966L01135,,2006-04-03,2022-12-30,1415,active
100176,quant Small Cap Fund - IDCW Option - Regular Plan,quant Mutual Fund,Open Ended Schemes ( Equity Scheme - Small Cap Fund ),Open Ended Schemes ( Equity Scheme - Small Cap Fund ),Regular Plan,IDCW Option,INF206A01022,INF966L01044,2006-04-03,2022-12-30,1415,active
100177,quant Small Cap Fund - Growth - Regular Plan,quant Mutual Fund,Open Ended Schemes ( Equity Scheme - Small Cap Fund ),Open Ended Schemes ( Equity Scheme - Small Cap Fund ),Regular Plan,Growth Option,INF966L01AA0,,2006-04-03,2022-12-30,1415,active
100178,ING Income Fund-Regular Plan -Dividend Option (Quarterly),ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,INF084M01721,INF084M01739,2006-04-03,2010-12-31,1159,closed_or_merged
100179,ING Income Fund-Regular Plan -Dividend Option (Half Yearly),ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,INF084M01747,INF084M01754,2006-04-03,2010-12-31,1159,closed_or_merged
100180,ING Income Fund- Regular Plan - Dividend Option (Annual),ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,INF084M01762,INF084M01770,2006-04-03,2010-12-31,1159,closed_or_merged
100181,ING Income Fund-Regular Plan -Growth Option,ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,INF084M01713,,2006-04-03,2010-12-31,1159,closed_or_merged
100182,ING Income Fund-Institutional Plan - Dividend Option (Half Yearly),ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,INF084M01812,INF084M01820,2006-04-03,2010-12-31,1159,closed_or_merged
100183,ING Income Fund-Institutional Plan - Dividend Option (Quarterly),ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,INF084M01796,INF084M01804,2006-04-03,2010-12-31,1159,closed_or_merged
100184,ING Income Fund-Institutional Plan -Dividend Option (Annual),ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,INF084M01838,INF084M01846,2006-04-03,2010-12-31,1159,closed_or_merged
100185,ING Income Fund-Bonus Option,ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2009-06-12,781,closed_or_merged
100186,ING Income Fund-Institutional Bonus Option,ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2009-06-12,781,closed_or_merged
100187,ING Income Fund-Institutional Plan - Growth Option,ING Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,INF084M01788,,2006-04-03,2010-12-31,1159,closed_or_merged
100188,ING Core Equity Fund-Dividend Option,ING Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,INF084M01192,INF084M01200,2006-04-03,2010-12-31,1170,closed_or_merged
100189,ING Core Equity Fund-Growth Option,ING Mutual Fund,Open Ended Schemes ( Growth ),Open Ended Schemes ( Growth ),,,INF084M01184,,2006-04-03,2010-12-31,1170,closed_or_merged
100190,ING Liquid Fund-Regular Growth Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,INF084M01424,,2006-04-01,2010-12-31,1736,closed_or_merged
100191,ING Liquid Fund-Regular Weekly Dividend Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,INF084M01457,INF084M01440,2006-04-01,2010-12-31,1736,closed_or_merged
100192,ING Liquid Fund-Regular Daily Dividend Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,INF084M01432,,2006-04-01,2010-12-31,1736,closed_or_merged
100194,ING Liquid Fund-Auto Sweep Growth Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,,,2006-04-01,2009-03-18,1083,closed_or_merged
100195,ING Liquid Fund-Auto Sweep Weekly Dividend Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,,,2006-04-01,2009-03-18,1083,closed_or_merged
100196,ING Liquid Fund-Institutional Growth Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,INF084M01465,,2006-04-01,2010-12-31,1736,closed_or_merged
100197,ING Liquid Fund-Institutional Weekly Dividend Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,INF084M01499,INF084M01481,2006-04-01,2010-12-31,1736,closed_or_merged
100198,ING Liquid Fund-Institutional Daily Dividend Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,INF084M01473,,2006-04-01,2010-12-31,1736,closed_or_merged
100199,ING Liquid Fund-Super Institutional Growth Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,INF084M01507,,2006-04-01,2010-12-31,1736,closed_or_merged
100200,ING Liquid Fund-Super Institutional Daily Dividend Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,INF084M01515,,2006-04-01,2010-12-31,1736,closed_or_merged
100201,ING Liquid Fund-Super Institutional Weekly Dividend Option,ING Mutual Fund,Open Ended Schemes ( Liquid ),Open Ended Schemes ( Liquid ),,,INF084M01531,INF084M01523,2006-04-01,2010-12-31,1736,closed_or_merged
100202,ING Balanced Fund-Dividend Option,ING Mutual Fund,Open Ended Schemes ( Balanced ),Open Ended Schemes ( Balanced ),,,INF084M01AC6,INF084M01AD4,2006-04-03,2010-12-31,1170,closed_or_merged
100203,ING Balanced Fund-Growth Option,ING Mutual Fund,Open Ended Schemes ( Balanced ),Open Ended Schemes ( Balanced ),,,INF084M01AB8,,2006-04-03,2010-12-31,1170,closed_or_merged
100218,JM Large Cap Fund (Regular) - IDCW,JM Financial Mutual Fund,Open Ended Schemes ( Equity Schemes - Large Cap Fund ),Open Ended Schemes ( Equity Schemes - Large Cap Fund ),Regular Plan,IDCW Option,INF192K01585,INF192K01593,2006-04-03,2022-12-30,1417,active
100219,JM Large Cap Fund (Regular) - Growth Option,JM Financial Mutual Fund,Open Ended Schemes ( Equity Schemes - Large Cap Fund ),Open Ended Schemes ( Equity Schemes - Large Cap Fund ),Regular Plan,Growth Option,INF192K01601,,2006-04-03,2022-12-30,1417,active
100220,JM Aggressive Hybrid Fund (Regular) - IDCW,JM Financial Mutual Fund,Open Ended Schemes ( Hybrid Schemes - Aggressive Hybrid Fund ),Open Ended Schemes ( Hybrid Schemes - Aggressive Hybrid Fund ),Regular Plan,IDCW Option,INF192K01528,INF192K01536,2006-04-03,2022-12-30,1417,active
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,JM Financial Mutual Fund,Open Ended Schemes ( Hybrid Schemes - Aggressive Hybrid Fund ),Open Ended Schemes ( Hybrid Schemes - Aggressive Hybrid Fund ),Regular Plan,Growth Option,INF192K01544,,2006-04-03,2022-12-30,1417,active
100222,JM Medium to Long Term Fund (Regular) - Quarterly IDCW,JM Financial Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Regular Plan,Quarterly IDCW Option,INF192K01999,INF192K01AA5,2006-04-03,2022-12-30,1393,active
100223,JM Medium to Long Term Fund (Regular) - Growth Option,JM Financial Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium to Long Term Fund ),Regular Plan,Growth Option,INF192K01AB3,,2006-04-03,2022-12-30,1393,active
