year,month,rows,status,run_at_utc
2018,11,0,ok,2026-09-21 11:13
2018,12,0,ok,2026-09-21 11:13
2019,1,0,ok,2026-09-21 11:18
2019,2,0,ok,2026-09-21 11:18
2019,3,0,ok,2026-09-21 11:18
2019,4,0,ok,2026-09-21 11:18
2019,5,0,ok,2026-09-21 11:18
2019,6,0,ok,2026-09-21 11:18
2019,7,0,ok,2026-09-21 11:18
2019,8,0,ok,2026-09-21 11:18
2019,9,0,ok,2026-09-21 11:18
2019,10,0,ok,2026-09-21 11:18
2019,11,0,ok,2026-09-21 11:18
2019,12,0,ok,2026-09-21 11:18
2020,1,0,ok,2026-09-21 11:24
2020,2,0,ok,2026-09-21 11:24
2020,3,0,ok,2026-09-21 11:24
2020,4,0,ok,2026-09-21 11:24
2020,5,0,ok,2026-09-21 11:24
2020,6,0,ok,2026-09-21 11:24
2020,7,0,ok,2026-09-21 11:24
2020,8,0,ok,2026-09-21 11:24
2020,9,0,ok,2026-09-21 11:24
2020,10,0,ok,2026-09-21 11:24
2020,11,0,ok,2026-09-21 11:24
2020,12,0,ok,2026-09-21 11:24
2021,1,0,ok,2026-09-21 11:30
2021,2,0,ok,2026-09-21 11:30
2021,3,0,ok,2026-09-21 11:30
2021,4,0,ok,2026-09-21 11:30
2021,5,0,ok,2026-09-21 11:30
2021,6,0,ok,2026-09-21 11:30
2021,7,0,ok,2026-09-21 11:30
2021,8,0,ok,2026-09-21 11:30
2021,9,0,ok,2026-09-21 11:30
2021,10,0,ok,2026-09-21 11:30
2021,11,0,ok,2026-09-21 11:30
2021,12,0,ok,2026-09-21 11:30
