key,nse_name_used,days,first_date,last_date,status,run_at_utc
nifty_top_20_equal_weight,NIFTY TOP 20 EQUAL WEIGHT,5100,2006-03-02,2026-09-25,ok,2026-09-26 08:04
nifty100_quality_30,NIFTY100 QUALITY 30,4213,2009-10-01,2026-09-25,ok,2026-09-26 08:04
nifty_midcap150_momentum_50,NIFTY Midcap150 Momentum 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_flexicap_quality_30,Nifty500 Flexicap Quality 30,4213,2009-10-01,2026-09-25,ok,2026-09-26 08:04
nifty500_growth_50,Nifty500 Growth 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_low_volatility_50,NIFTY500 LOW VOLATILITY 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_momentum_50,NIFTY500 MOMENTUM 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_quality_50,NIFTY500 QUALITY 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_multifactor_mqvlv_50,NIFTY500 MULTIFACTOR MQVLv 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_midcap150_quality_50,NIFTY Midcap150 Quality 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_smallcap250_quality_50,Nifty Smallcap250 Quality 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_total_market_momentum_quality_50,Nifty Total Market Momentum Quality 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_multicap_momentum_quality_50,NIFTY500 MULTICAP MOMENTUM QUALITY 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_midsmallcap400_momentum_quality_100,Nifty MidSmallcap400 Momentum Quality 100,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_smallcap250_momentum_quality_100,Nifty Smallcap250 Momentum Quality 100,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_quality_low_volatility_30,NIFTY QUALITY LOW-VOLATILITY 30,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty50_equal_weight,NIFTY50 EQUAL WEIGHT,7698,1995-11-03,2026-09-25,ok,2026-09-26 08:04
nifty50_value_20,NIFTY50 VALUE 20,4395,2009-01-01,2026-09-25,ok,2026-09-26 08:04
nifty200_value_30,Nifty200 Value 30,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_value_50,NIFTY500 VALUE 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_equal_weight,NIFTY500 EQUAL WEIGHT,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty200_quality_30,NIFTY200 Quality 30,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
